dataset,time,obs_value,freq,unit,incgrp,age,sex,geo
ilc_lvho07a,2004,37.5,A,PC,B_MD60,Y16-29,F,IT
ilc_lvho07a,2004,27.6,A,PC,B_MD60,Y16-29,M,FI
ilc_lvho07a,2004,33.6,A,PC,B_MD60,Y16-29,M,IT
ilc_lvho07a,2004,29.4,A,PC,B_MD60,Y16-29,T,FI
ilc_lvho07a,2004,35.6,A,PC,B_MD60,Y16-29,T,IT
ilc_lvho07a,2004,36.0,A,PC,B_MD60,Y18-24,F,FI
ilc_lvho07a,2004,34.1,A,PC,B_MD60,Y18-24,F,IT
ilc_lvho07a,2004,28.1,A,PC,B_MD60,Y18-24,M,FI
ilc_lvho07a,2004,31.3,A,PC,B_MD60,Y18-24,M,IT
ilc_lvho07a,2004,32.4,A,PC,B_MD60,Y18-24,T,FI
ilc_lvho07a,2004,32.8,A,PC,B_MD60,Y18-24,T,IT
ilc_lvho07a,2004,24.6,A,PC,B_MD60,Y18-64,F,FI
ilc_lvho07a,2004,39.8,A,PC,B_MD60,Y18-64,F,IT
ilc_lvho07a,2004,23.4,A,PC,B_MD60,Y18-64,M,FI
ilc_lvho07a,2004,36.5,A,PC,B_MD60,Y18-64,M,IT
ilc_lvho07a,2004,23.9,A,PC,B_MD60,Y18-64,T,FI
ilc_lvho07a,2004,38.3,A,PC,B_MD60,Y18-64,T,IT
ilc_lvho07a,2004,36.2,A,PC,B_MD60,Y20-24,F,FI
ilc_lvho07a,2004,36.0,A,PC,B_MD60,Y20-24,F,IT
ilc_lvho07a,2004,24.1,A,PC,B_MD60,Y20-24,M,FI
ilc_lvho07a,2004,28.6,A,PC,B_MD60,Y20-24,M,IT
ilc_lvho07a,2004,30.3,A,PC,B_MD60,Y20-24,T,FI
ilc_lvho07a,2004,32.3,A,PC,B_MD60,Y20-24,T,IT
ilc_lvho07a,2004,31.3,A,PC,B_MD60,Y20-29,F,FI
ilc_lvho07a,2004,39.7,A,PC,B_MD60,Y20-29,F,IT
ilc_lvho07a,2004,26.5,A,PC,B_MD60,Y20-29,M,FI
ilc_lvho07a,2004,34.6,A,PC,B_MD60,Y20-29,M,IT
ilc_lvho07a,2004,28.8,A,PC,B_MD60,Y20-29,T,FI
ilc_lvho07a,2004,37.3,A,PC,B_MD60,Y20-29,T,IT
ilc_lvho07a,2004,19.4,A,PC,B_MD60,Y25-29,F,FI
ilc_lvho07a,2004,43.2,A,PC,B_MD60,Y25-29,F,IT
ilc_lvho07a,2004,30.6,A,PC,B_MD60,Y25-29,M,FI
ilc_lvho07a,2004,41.4,A,PC,B_MD60,Y25-29,M,IT
ilc_lvho07a,2004,25.9,A,PC,B_MD60,Y25-29,T,FI
ilc_lvho07a,2004,42.4,A,PC,B_MD60,Y25-29,T,IT
ilc_lvho07a,2004,13.9,A,PC,B_MD60,Y6-11,F,FI
ilc_lvho07a,2004,38.1,A,PC,B_MD60,Y6-11,F,IT
ilc_lvho07a,2004,11.7,A,PC,B_MD60,Y6-11,M,FI
ilc_lvho07a,2004,38.3,A,PC,B_MD60,Y6-11,M,IT
ilc_lvho07a,2004,12.8,A,PC,B_MD60,Y6-11,T,FI
ilc_lvho07a,2004,38.2,A,PC,B_MD60,Y6-11,T,IT
ilc_lvho07a,2004,6.3,A,PC,B_MD60,Y_GE65,F,FI
ilc_lvho07a,2004,38.1,A,PC,B_MD60,Y_GE65,F,IT
ilc_lvho07a,2004,1.5,A,PC,B_MD60,Y_GE65,M,FI
ilc_lvho07a,2004,27.4,A,PC,B_MD60,Y_GE65,M,IT
ilc_lvho07a,2004,5.0,A,PC,B_MD60,Y_GE65,T,FI
ilc_lvho07a,2004,34.4,A,PC,B_MD60,Y_GE65,T,IT
ilc_lvho07a,2004,14.7,A,PC,B_MD60,Y_LT18,F,FI
ilc_lvho07a,2004,39.2,A,PC,B_MD60,Y_LT18,F,IT
ilc_lvho07a,2004,12.3,A,PC,B_MD60,Y_LT18,M,FI
ilc_lvho07a,2004,37.8,A,PC,B_MD60,Y_LT18,M,IT
ilc_lvho07a,2004,13.5,A,PC,B_MD60,Y_LT18,T,FI
ilc_lvho07a,2004,38.5,A,PC,B_MD60,Y_LT18,T,IT
ilc_lvho07a,2004,13.2,A,PC,B_MD60,Y_LT6,F,FI
ilc_lvho07a,2004,44.9,A,PC,B_MD60,Y_LT6,F,IT
ilc_lvho07a,2004,12.7,A,PC,B_MD60,Y_LT6,M,FI
ilc_lvho07a,2004,45.7,A,PC,B_MD60,Y_LT6,M,IT
ilc_lvho07a,2004,12.9,A,PC,B_MD60,Y_LT6,T,FI
ilc_lvho07a,2004,45.3,A,PC,B_MD60,Y_LT6,T,IT
ilc_lvho07a,2004,3.9,A,PC,TOTAL,TOTAL,F,FI
ilc_lvho07a,2004,13.4,A,PC,TOTAL,TOTAL,F,IT
ilc_lvho07a,2004,3.7,A,PC,TOTAL,TOTAL,M,FI
ilc_lvho07a,2004,11.0,A,PC,TOTAL,TOTAL,M,IT
ilc_lvho07a,2004,3.8,A,PC,TOTAL,TOTAL,T,FI
ilc_lvho07a,2004,12.2,A,PC,TOTAL,TOTAL,T,IT
ilc_lvho07a,2004,2.5,A,PC,TOTAL,Y12-17,F,FI
ilc_lvho07a,2004,12.2,A,PC,TOTAL,Y12-17,F,IT
ilc_lvho07a,2004,1.6,A,PC,TOTAL,Y12-17,M,FI
ilc_lvho07a,2004,11.8,A,PC,TOTAL,Y12-17,M,IT
ilc_lvho07a,2004,2.0,A,PC,TOTAL,Y12-17,T,FI
ilc_lvho07a,2004,12.0,A,PC,TOTAL,Y12-17,T,IT
ilc_lvho07a,2004,5.8,A,PC,TOTAL,Y15-19,F,FI
ilc_lvho07a,2004,11.8,A,PC,TOTAL,Y15-19,F,IT
ilc_lvho07a,2004,4.0,A,PC,TOTAL,Y15-19,M,FI
ilc_lvho07a,2004,10.4,A,PC,TOTAL,Y15-19,M,IT
ilc_lvho07a,2004,4.9,A,PC,TOTAL,Y15-19,T,FI
ilc_lvho07a,2004,11.1,A,PC,TOTAL,Y15-19,T,IT
ilc_lvho07a,2004,8.8,A,PC,TOTAL,Y15-24,F,FI
ilc_lvho07a,2004,11.2,A,PC,TOTAL,Y15-24,F,IT
ilc_lvho07a,2004,6.0,A,PC,TOTAL,Y15-24,M,FI
ilc_lvho07a,2004,9.6,A,PC,TOTAL,Y15-24,M,IT
ilc_lvho07a,2004,7.4,A,PC,TOTAL,Y15-24,T,FI
ilc_lvho07a,2004,10.4,A,PC,TOTAL,Y15-24,T,IT
ilc_lvho07a,2004,7.8,A,PC,TOTAL,Y15-29,F,FI
ilc_lvho07a,2004,12.1,A,PC,TOTAL,Y15-29,F,IT
ilc_lvho07a,2004,6.4,A,PC,TOTAL,Y15-29,M,FI
ilc_lvho07a,2004,10.5,A,PC,TOTAL,Y15-29,M,IT
ilc_lvho07a,2004,7.1,A,PC,TOTAL,Y15-29,T,FI
ilc_lvho07a,2004,11.3,A,PC,TOTAL,Y15-29,T,IT
ilc_lvho07a,2004,6.9,A,PC,TOTAL,Y16-19,F,FI
ilc_lvho07a,2004,11.7,A,PC,TOTAL,Y16-19,F,IT
ilc_lvho07a,2004,4.5,A,PC,TOTAL,Y16-19,M,FI
ilc_lvho07a,2004,9.6,A,PC,TOTAL,Y16-19,M,IT
ilc_lvho07a,2004,5.7,A,PC,TOTAL,Y16-19,T,FI
ilc_lvho07a,2004,10.6,A,PC,TOTAL,Y16-19,T,IT
ilc_lvho07a,2004,9.6,A,PC,TOTAL,Y16-24,F,FI
ilc_lvho07a,2004,11.1,A,PC,TOTAL,Y16-24,F,IT
ilc_lvho07a,2004,6.4,A,PC,TOTAL,Y16-24,M,FI
ilc_lvho07a,2004,9.2,A,PC,TOTAL,Y16-24,M,IT
ilc_lvho07a,2004,8.0,A,PC,TOTAL,Y16-24,T,FI
ilc_lvho07a,2004,10.1,A,PC,TOTAL,Y16-24,T,IT
ilc_lvho07a,2004,8.3,A,PC,TOTAL,Y16-29,F,FI
ilc_lvho07a,2004,12.1,A,PC,TOTAL,Y16-29,F,IT
ilc_lvho07a,2004,6.7,A,PC,TOTAL,Y16-29,M,FI
ilc_lvho07a,2004,10.3,A,PC,TOTAL,Y16-29,M,IT
ilc_lvho07a,2004,7.5,A,PC,TOTAL,Y16-29,T,FI
ilc_lvho07a,2004,11.2,A,PC,TOTAL,Y16-29,T,IT
ilc_lvho07a,2004,11.0,A,PC,TOTAL,Y18-24,F,FI
ilc_lvho07a,2004,11.1,A,PC,TOTAL,Y18-24,F,IT
ilc_lvho07a,2004,7.8,A,PC,TOTAL,Y18-24,M,FI
ilc_lvho07a,2004,9.2,A,PC,TOTAL,Y18-24,M,IT
ilc_lvho07a,2004,9.4,A,PC,TOTAL,Y18-24,T,FI
ilc_lvho07a,2004,10.1,A,PC,TOTAL,Y18-24,T,IT
ilc_lvho07a,2004,4.5,A,PC,TOTAL,Y18-64,F,FI
ilc_lvho07a,2004,11.9,A,PC,TOTAL,Y18-64,F,IT
ilc_lvho07a,2004,4.5,A,PC,TOTAL,Y18-64,M,FI
ilc_lvho07a,2004,10.3,A,PC,TOTAL,Y18-64,M,IT
ilc_lvho07a,2004,4.5,A,PC,TOTAL,Y18-64,T,FI
ilc_lvho07a,2004,11.1,A,PC,TOTAL,Y18-64,T,IT
ilc_lvho07a,2004,11.7,A,PC,TOTAL,Y20-24,F,FI
ilc_lvho07a,2004,10.7,A,PC,TOTAL,Y20-24,F,IT
ilc_lvho07a,2004,7.9,A,PC,TOTAL,Y20-24,M,FI
ilc_lvho07a,2004,8.9,A,PC,TOTAL,Y20-24,M,IT
ilc_lvho07a,2004,9.7,A,PC,TOTAL,Y20-24,T,FI
ilc_lvho07a,2004,9.8,A,PC,TOTAL,Y20-24,T,IT
ilc_lvho07a,2004,8.8,A,PC,TOTAL,Y20-29,F,FI
ilc_lvho07a,2004,12.2,A,PC,TOTAL,Y20-29,F,IT
ilc_lvho07a,2004,7.6,A,PC,TOTAL,Y20-29,M,FI
ilc_lvho07a,2004,10.5,A,PC,TOTAL,Y20-29,M,IT
ilc_lvho07a,2004,8.2,A,PC,TOTAL,Y20-29,T,FI
ilc_lvho07a,2004,11.4,A,PC,TOTAL,Y20-29,T,IT
ilc_lvho07a,2004,6.0,A,PC,TOTAL,Y25-29,F,FI
ilc_lvho07a,2004,13.5,A,PC,TOTAL,Y25-29,F,IT
ilc_lvho07a,2004,7.3,A,PC,TOTAL,Y25-29,M,FI
ilc_lvho07a,2004,11.8,A,PC,TOTAL,Y25-29,M,IT
ilc_lvho07a,2004,6.6,A,PC,TOTAL,Y25-29,T,FI
ilc_lvho07a,2004,12.6,A,PC,TOTAL,Y25-29,T,IT
ilc_lvho07a,2004,2.5,A,PC,TOTAL,Y6-11,F,FI
ilc_lvho07a,2004,13.5,A,PC,TOTAL,Y6-11,F,IT
ilc_lvho07a,2004,2.3,A,PC,TOTAL,Y6-11,M,FI
ilc_lvho07a,2004,14.0,A,PC,TOTAL,Y6-11,M,IT
ilc_lvho07a,2004,2.4,A,PC,TOTAL,Y6-11,T,FI
ilc_lvho07a,2004,13.7,A,PC,TOTAL,Y6-11,T,IT
ilc_lvho07a,2004,3.2,A,PC,TOTAL,Y_GE65,F,FI
ilc_lvho07a,2004,17.3,A,PC,TOTAL,Y_GE65,F,IT
ilc_lvho07a,2004,2.0,A,PC,TOTAL,Y_GE65,M,FI
ilc_lvho07a,2004,10.5,A,PC,TOTAL,Y_GE65,M,IT
ilc_lvho07a,2004,2.7,A,PC,TOTAL,Y_GE65,T,FI
ilc_lvho07a,2004,14.5,A,PC,TOTAL,Y_GE65,T,IT
ilc_lvho07a,2004,2.8,A,PC,TOTAL,Y_LT18,F,FI
ilc_lvho07a,2004,13.9,A,PC,TOTAL,Y_LT18,F,IT
ilc_lvho07a,2004,2.3,A,PC,TOTAL,Y_LT18,M,FI
ilc_lvho07a,2004,13.6,A,PC,TOTAL,Y_LT18,M,IT
ilc_lvho07a,2004,2.5,A,PC,TOTAL,Y_LT18,T,FI
ilc_lvho07a,2004,13.7,A,PC,TOTAL,Y_LT18,T,IT
ilc_lvho07a,2004,3.3,A,PC,TOTAL,Y_LT6,F,FI
ilc_lvho07a,2004,15.7,A,PC,TOTAL,Y_LT6,F,IT
ilc_lvho07a,2004,3.1,A,PC,TOTAL,Y_LT6,M,FI
ilc_lvho07a,2004,14.9,A,PC,TOTAL,Y_LT6,M,IT
ilc_lvho07a,2004,3.2,A,PC,TOTAL,Y_LT6,T,FI
ilc_lvho07a,2004,15.3,A,PC,TOTAL,Y_LT6,T,IT
ilc_lvho07a,2005,1.9,A,PC,A_MD60,TOTAL,F,FI
ilc_lvho07a,2005,7.0,A,PC,A_MD60,TOTAL,F,IT
ilc_lvho07a,2005,1.8,A,PC,A_MD60,TOTAL,M,FI
ilc_lvho07a,2005,5.8,A,PC,A_MD60,TOTAL,M,IT
ilc_lvho07a,2005,1.8,A,PC,A_MD60,TOTAL,T,FI
ilc_lvho07a,2005,6.4,A,PC,A_MD60,TOTAL,T,IT
ilc_lvho07a,2005,1.0,A,PC,A_MD60,Y12-17,F,FI
ilc_lvho07a,2005,5.1,A,PC,A_MD60,Y12-17,F,IT
ilc_lvho07a,2005,1.5,A,PC,A_MD60,Y12-17,M,FI
ilc_lvho07a,2005,4.6,A,PC,A_MD60,Y12-17,M,IT
ilc_lvho07a,2005,1.3,A,PC,A_MD60,Y12-17,T,FI
ilc_lvho07a,2005,4.8,A,PC,A_MD60,Y12-17,T,IT
ilc_lvho07a,2005,1.1,A,PC,A_MD60,Y15-19,F,FI
ilc_lvho07a,2005,4.5,A,PC,A_MD60,Y15-19,F,IT
ilc_lvho07a,2005,0.8,A,PC,A_MD60,Y15-19,M,FI
ilc_lvho07a,2005,3.3,A,PC,A_MD60,Y15-19,M,IT
ilc_lvho07a,2005,1.0,A,PC,A_MD60,Y15-19,T,FI
ilc_lvho07a,2005,3.9,A,PC,A_MD60,Y15-19,T,IT
ilc_lvho07a,2005,2.1,A,PC,A_MD60,Y15-24,F,FI
ilc_lvho07a,2005,4.4,A,PC,A_MD60,Y15-24,F,IT
ilc_lvho07a,2005,1.7,A,PC,A_MD60,Y15-24,M,FI
ilc_lvho07a,2005,3.7,A,PC,A_MD60,Y15-24,M,IT
ilc_lvho07a,2005,1.9,A,PC,A_MD60,Y15-24,T,FI
ilc_lvho07a,2005,4.0,A,PC,A_MD60,Y15-24,T,IT
ilc_lvho07a,2005,2.0,A,PC,A_MD60,Y15-29,F,FI
ilc_lvho07a,2005,4.9,A,PC,A_MD60,Y15-29,F,IT
ilc_lvho07a,2005,2.1,A,PC,A_MD60,Y15-29,M,FI
ilc_lvho07a,2005,4.6,A,PC,A_MD60,Y15-29,M,IT
ilc_lvho07a,2005,2.1,A,PC,A_MD60,Y15-29,T,FI
ilc_lvho07a,2005,4.7,A,PC,A_MD60,Y15-29,T,IT
ilc_lvho07a,2005,0.8,A,PC,A_MD60,Y16-19,F,FI
ilc_lvho07a,2005,4.3,A,PC,A_MD60,Y16-19,F,IT
ilc_lvho07a,2005,0.8,A,PC,A_MD60,Y16-19,M,FI
ilc_lvho07a,2005,3.0,A,PC,A_MD60,Y16-19,M,IT
ilc_lvho07a,2005,0.8,A,PC,A_MD60,Y16-19,T,FI
ilc_lvho07a,2005,3.7,A,PC,A_MD60,Y16-19,T,IT
ilc_lvho07a,2005,2.1,A,PC,A_MD60,Y16-24,F,FI
ilc_lvho07a,2005,4.3,A,PC,A_MD60,Y16-24,F,IT
ilc_lvho07a,2005,1.8,A,PC,A_MD60,Y16-24,M,FI
ilc_lvho07a,2005,3.7,A,PC,A_MD60,Y16-24,M,IT
ilc_lvho07a,2005,1.9,A,PC,A_MD60,Y16-24,T,FI
ilc_lvho07a,2005,4.0,A,PC,A_MD60,Y16-24,T,IT
ilc_lvho07a,2005,2.0,A,PC,A_MD60,Y16-29,F,FI
ilc_lvho07a,2005,4.9,A,PC,A_MD60,Y16-29,F,IT
ilc_lvho07a,2005,2.2,A,PC,A_MD60,Y16-29,M,FI
ilc_lvho07a,2005,4.6,A,PC,A_MD60,Y16-29,M,IT
ilc_lvho07a,2005,2.1,A,PC,A_MD60,Y16-29,T,FI
ilc_lvho07a,2005,4.7,A,PC,A_MD60,Y16-29,T,IT
ilc_lvho07a,2005,2.5,A,PC,A_MD60,Y18-24,F,FI
ilc_lvho07a,2005,4.1,A,PC,A_MD60,Y18-24,F,IT
